1,-295,-160
1,-302,-175
1,-294,-197
1,-273,-188
1,-259,-210
1,-238,-216
1,-251,-183
1,-273,-161
1,-252,-162
1,-301,-127
1,-322,-99
1,-322,-126
1,-322,-146
2,-231,-112
2,-196,-140
2,-210,-112
2,-196,-112
2,-189,-91
2,-210,-63
2,-245,-42
2,-224,-84
2,-267,-41
2,-252,-70
2,-287,-49
2,-259,-77
2,-273,-91
2,-259,-105
5,-112,21
5,-91,8
5,-91,28
5,-77,22
5,-77,42
5,-84,57
5,-71,57
5,-71,77
5,-98,97
5,-99,77
5,-125,111
5,-119,85
5,-147,111
5,-113,64
5,-134,78
5,-113,64
5,-140,63
5,-154,78
5,-133,42
5,-112,49
7,-50,70
7,-112,21
7,-91,8
7,-91,28
7,-77,22
7,-77,42
7,-84,57
7,-71,57
7,-71,77
7,-98,97
7,-99,77
7,-125,111
7,-119,85
7,-147,111
7,-113,64
7,-134,78
7,-113,64
7,-112,49
